time,delta_f,delta_f_COI,P_BESS,P_Wind,SoH,Shortfall
141,0.359985116128003,0.355035202678561,21.6264185375523,0.0453986789300555,0.799999159401706,-0.0014270235470093
142,0.359400730476439,0.354450637704712,21.5909046805816,0.0452134540699806,0.799999153394506,-0.00141410749836268
143,0.358821456729053,0.353871186158006,21.5557120447225,0.0450192496641526,0.799999147397133,-0.00140132547829097
144,0.358247250444588,0.353296803584729,21.5208373074574,0.0448166742661094,0.7999991414095,-0.00138867524337982
145,0.357678067561695,0.35272744591065,21.4862772014272,0.0446063045600151,0.799999135431519,-0.00137615462434582
146,0.357113864400044,0.352163069442402,21.4520285126082,0.0443886869802987,0.799999129463101,-0.00136376152246953
147,0.356554597651793,0.351603630860325,21.4180880786202,0.0441643392538021,0.799999123504162,-0.00135149390531097
148,0.356000224380942,0.35104908721707,21.3844527870649,0.0439337518132426,0.799999117554616,-0.00133934980555495
149,0.355450702022098,0.350499395935033,21.3511195739557,0.0436973891985266,0.799999111614379,-0.00132732731720964
150,0.354905988376764,0.34995451480177,21.3180854222277,0.0434556913769437,0.799999105683366,-0.00131542459221023
151,0.354366041605658,0.349414401968973,21.2853473603093,0.0432090749629593,0.799999099761496,-0.00130363983869941
152,0.35383082023222,0.348879015946812,21.2529024607507,0.042957934409116,0.799999093848686,-0.00129197131835568
153,0.353300283133695,0.348348315602742,21.220747838918,0.0427026431285732,0.799999087944855,-0.00128041734382478
154,0.352774389545535,0.347822260159075,21.1888806517437,0.0424435545563081,0.799999082049923,-0.00126897627672307
155,0.352253099051164,0.347300809186979,21.1572980965393,0.0421810031663046,0.799999076163811,-0.00125764652526783
156,0.351736371581823,0.346783922607113,21.1259974098462,0.0419153054487961,0.799999070286439,-0.00124642654160922
157,0.351224167410896,0.346271560684513,21.0949758663583,0.0416467607579959,0.79999906441773,-0.00123531482204342
158,0.35071644716328,0.345763684027178,21.0642307778557,0.041375652273223,0.799999058557607,-0.00122430990245803
159,0.350213171792751,0.345260253581092,21.0337594922361,0.0411022477715083,0.799999052705992,-0.0012134103575292
160,0.349714302591414,0.344761230628576,21.0035593925396,0.040826800373963,0.799999046862811,-0.00120261480078199
161,0.349219801189665,0.344266576786911,20.9736278960233,0.040549549347433,0.799999041027988,-0.00119192188114425
162,0.348729629546618,0.343776254002992,20.9439624533043,0.040270720819447,0.799999035201449,-0.00118133028063383
163,0.348243749941557,0.343290224550907,20.9145605475208,0.0399905283746795,0.799999029383121,-0.00117083871540302
164,0.347762124992468,0.342808451032212,20.885419693504,0.0397091737535915,0.799999023572929,-0.00116044593308473
165,0.347284717628854,0.34233089636867,20.8565374370319,0.0394268474468178,0.799999017770803,-0.00115015071080293
166,0.346811491103416,0.341857523802702,20.8279113540745,0.0391437292296739,0.799999011976671,-0.00113995185583349
167,0.346342408988282,0.341388296893835,20.7995390500861,0.0388599887906508,0.799999006190461,-0.00112984820152917
168,0.345877435164665,0.340923179515423,20.7714181593353,0.0385757861515471,0.799999000412104,-0.00111983860929499
169,0.345416533830956,0.340462135852682,20.7435463442384,0.0382912722132997,0.79999899464153,-0.0011099219661368
170,0.344959669489142,0.340005130400289,20.7159212947324,0.0380065892319906,0.799998988878669,-0.00110009718273218
171,0.344506806951367,0.339552127958687,20.6885407276807,0.0377218712174631,0.799998983123455,-0.00109036319453892
172,0.344057911331846,0.339103093632731,20.6614023862859,0.0374372444086477,0.799998977375818,-0.00108071895865436
173,0.343612948046734,0.338657992828051,20.6345040395403,0.0371528276308662,0.799998971635693,-0.00107116345460057
174,0.343171882810722,0.338216791248924,20.6078434816852,0.0368687326975847,0.799998965903012,-0.00106169568270076
175,0.342734681632595,0.337779454896753,20.5814185316957,0.0365850647460481,0.79999896017771,-0.0010523146640331
176,0.342301310818055,0.337345950065293,20.5552270327879,0.0363019226341106,0.799998954459721,-0.00104301943798291
177,0.341871736962129,0.336916243340774,20.5292668519423,0.0360193991869045,0.799998948748982,-0.00103380906410777
178,0.341445926947709,0.336490301596881,20.5035358794374,0.0357375815916409,0.799998943045428,-0.00102468261856714
179,0.341023847946487,0.336068091994096,20.4780320284161,0.0354565516148536,0.799998937348995,-0.00101563919605141
180,0.340605467411342,0.335649581978253,20.4527532344525,0.0351763859346463,0.799998931659621,-0.0010066779071991
181,0.340190753079189,0.335234739273482,20.4276974551533,0.034897156372713,0.799998925977244,-0.000997797879414009
182,0.339779672961354,0.334823531885026,20.402862669735,0.0346189301635905,0.799998920301801,-0.000988998255404994
183,0.339372195349669,0.33441592809495,20.3782468786633,0.0343417701950955,0.799998914633232,-0.000980278192649564
184,0.338968288809982,0.334011896459396,20.3538481032781,0.0340657352105477,0.799998908971475,-0.000971636863845049
185,0.338567922177446,0.333611405805462,20.3296643854341,0.0337908800536247,0.799998903316472,-0.000963073455164221
186,0.338171064561299,0.333214425231354,20.3056937871548,0.0335172558537413,0.799998897668162,-0.000954587166685172
187,0.337777685334284,0.332820924101968,20.2819343902989,0.0332449102291397,0.799998892026487,-0.000946177211545773
188,0.337387754134333,0.332430872047018,20.2583842962388,0.0329738874689555,0.799998886391388,-0.000937842815364576
189,0.337001240863999,0.332044238959733,20.2350416255464,0.0327042287074429,0.799998880762806,-0.000929583216251473
190,0.336618115685178,0.331660994994043,20.2119045176936,0.0324359720789319,0.799998875140685,-0.000921397664434664
191,0.336238349019863,0.331281110561354,20.188971130755,0.0321691529012693,0.799998869524968,-0.000913285421372478
192,0.335861911543167,0.330904556330003,20.166239641128,0.0319038038134366,0.799998863915599,-0.000905245759390993
193,0.335488774186876,0.330531303222886,20.1437082432546,0.031639954889764,0.799998858312521,-0.000897277962646825
194,0.335118908132037,0.33016132241302,20.1213751493588,0.031377633830475,0.799998852715679,-0.000889381324682859
195,0.334752284812245,0.32979458532556,20.0992385891821,0.0311168660357028,0.799998847125018,-0.000881555150190394
196,0.334388875909536,0.329431063630381,20.0772968097358,0.0308576747689182,0.799998841540484,-0.000873798753165289
197,0.334028653343077,0.329070729245734,20.0555480750542,0.0306000812480011,0.799998835962023,-0.000866111457096252
198,0.333671589286205,0.328713554331556,20.033990665961,0.0303441047435136,0.799998830389582,-0.000858492595924076
199,0.33331765614783,0.328359511289006,20.0126228798325,0.0300897627278249,0.799998824823107,-0.000850941511536973
200,0.332966826574049,0.328008572759436,19.9914430303781,0.029837070942943,0.799998819262546,-0.000843457554626781
201,0.332619073454155,0.327660711620753,19.9704494474222,0.0295860434671308,0.799998813707847,-0.00083604008589333
202,0.332341958405319,0.327381480497135,19.9497429532843,0.0298003039708556,0.799998808158954,-0.000812217721051667
203,0.332134465611877,0.327172970120654,19.9303314744591,0.0313088685894069,0.799998802615669,-0.000734357414245324
204,0.331925248217169,0.326964083492615,19.9130903504578,0.0328268680924759,0.799998797077484,-0.000647476497753985
205,0.331708222786464,0.32674723758373,19.8977514597743,0.0335829876795956,0.799998791543813,-0.000584151580518721
206,0.331489256410006,0.326528276448756,19.8836823280181,0.0336517965345069,0.799998786014217,-0.00054469697316506
207,0.331270365580327,0.326309361176369,19.8703846590554,0.0332881168634335,0.799998780488415,-0.000521169646326314
208,0.331051968588714,0.326090916880895,19.8575437366561,0.0326808668818369,0.799998774966241,-0.000507326237311645
209,0.330834456593909,0.325873344503969,19.8449717674135,0.0319500144558119,0.799998769447596,-0.00049911835922245
210,0.330618189219228,0.325657015990743,19.832562672898,0.0311699582844555,0.799998763932422,-0.00049396294905435
211,0.330403380123423,0.325442144303006,19.8202612300352,0.0303835104112823,0.799998758420682,-0.000490317621206771
212,0.330190123085133,0.325228822924278,19.8080412841207,0.0296127013933664,0.79999875291235,-0.000487346614423956
213,0.329978451825169,0.325017087569046,19.7958917895292,0.0288674699191981,0.799998747407404,-0.00048463591827641
214,0.329768374806788,0.324806947168121,19.7838089199375,0.0281514366638104,0.799998741905827,-0.000481996922509609
215,0.329559887867265,0.324598397266967,19.7717920002535,0.0274651787463654,0.7999987364076,-0.000479352657588805
216,0.329352980455894,0.324391427356824,19.7598415473112,0.0268079310950926,0.799998730912705,-0.000476677774209122
217,0.329147639949529,0.32418602489423,19.7479584001945,0.026178425711019,0.799998725421122,-0.000473968433034599
218,0.328943853603547,0.323982177082166,19.7361433836527,0.0255752766036725,0.799998719932834,-0.000471228128173351
219,0.328741608971644,0.323779871447516,19.7243972102257,0.0249971327731844,0.79999871444782,-0.000468461788063479
220,0.328540893978885,0.323579095920185,19.7127204739024,0.0244427237801088,0.799998708966063,-0.000465673819803669
221,0.328341696881362,0.32337983873964,19.7011136696174,0.0239108636150181,0.799998703487542,-0.000462867743063811
222,0.32814400612311,0.323182088351232,19.6895772139388,0.0234004416569608,0.799998698012237,-0.000460046348937482
223,0.327947810303408,0.322985833345213,19.6781114603051,0.0229104127606383,0.79999869254013,-0.000457211931816914
